episode,reward,entropy,kl_div,variance
0,3.4759319663047785,4.968141555786133,3.612878481983533e-16,110.31119537353516
1,7.974195754528045,4.968142032623291,1.0644399673837755e-16,104.99205017089844
2,4.749160039424896,4.968142509460449,3.382791510982559e-17,109.38824462890625
3,0.7484440088272093,4.968142032623291,1.4374281463803485e-16,104.42787170410156
4,1.1682000279426574,4.968141555786133,2.269275877385523e-17,99.77871704101562
5,12.733683776855468,4.968142032623291,2.636909186881448e-17,107.7710952758789
6,4.258367884159088,4.968142032623291,1.9346768528325154e-17,106.65673828125
7,1.8004040956497185,4.968142032623291,-6.394633876265713e-18,116.06522369384766
8,9.428123927116394,4.968142032623291,1.1803907045801107e-17,102.55860900878906
9,2.898303937911987,4.968142032623291,4.897680820389313e-17,106.42721557617188
10,0.88646000623703,4.968142032623291,1.5665185214620452e-19,106.41483306884766
11,1.1032880067825317,4.968142032623291,4.8551945080228746e-17,104.72218322753906
12,6.437656021118164,4.968142032623291,2.0527967553799852e-17,96.58672332763672
13,2.7812321066856383,4.968142032623291,2.7446820525826145e-17,108.49481201171875
14,1.2918280005455016,4.968142032623291,1.1978454562758985e-17,107.57403564453125
15,1.5515039920806883,4.968141555786133,1.0917625205661779e-17,110.82404327392578
16,3.930879843235015,4.968141555786133,8.002092306278786e-18,112.94622802734375
17,1.7616999745368955,4.968141555786133,4.207399260958302e-17,98.83653259277344
18,0.9845200181007385,4.968141555786133,8.913399668670295e-18,106.47991180419922
19,1.1528640508651733,4.968142032623291,4.206689209120486e-17,108.36296081542969
20,7.5884478926658625,4.968141555786133,1.3367021150355826e-17,108.53470611572266
21,0.9260600209236145,4.968141555786133,-1.0766371094753395e-17,103.09748077392578
22,4.977935922145843,4.968141555786133,1.4079590098775344e-17,106.71792602539062
23,4.595819962024688,4.968141555786133,9.526043544732182e-19,110.18527221679688
24,5.303023958206176,4.968141555786133,7.031010391282359e-18,108.90203857421875
25,1.3180280089378353,4.968141555786133,3.708120405128746e-18,108.05268859863281
26,7.526871919631958,4.968142032623291,3.6293264059813335e-17,106.42657470703125
27,4.977103865146637,4.968142032623291,2.9350895997333384e-17,109.3685302734375
28,2.985328078269958,4.968141555786133,7.914818134209541e-18,109.6276626586914
29,8.39472781419754,4.968141555786133,2.6576834970934724e-17,107.48654174804688
30,11.054824078083037,4.968141555786133,1.1314291396605457e-17,113.97489929199219
31,2.2438959121704096,4.968141555786133,4.0579419517765056e-17,102.32625579833984
32,9.996952009201049,4.968141555786133,4.105088268841823e-17,109.58879089355469
33,0.951807975769043,4.968141555786133,-1.1796482272622831e-17,107.72176361083984
34,12.062039923667907,4.968142032623291,1.5420350610050295e-17,107.05430603027344
35,8.211440050601958,4.968141555786133,2.971416063514217e-17,111.02708435058594
36,1.5578319787979125,4.968141555786133,2.0004423437419114e-17,104.62472534179688
37,2.171575891971588,4.968142032623291,-1.0093647436440556e-17,107.05375671386719
38,3.3054359912872315,4.968142032623291,3.429973893122584e-17,110.25263214111328
39,6.055223774909972,4.968141555786133,6.941557425479649e-18,112.32427978515625
40,0.7086360335350035,4.968141555786133,-1.805401427108033e-17,104.6629638671875
41,2.5974000692367554,4.968141555786133,4.909895134750394e-18,105.87142944335938
42,8.165503859519958,4.968141555786133,9.801856993820638e-18,108.74983215332031
43,6.107287871837615,4.968142032623291,1.2632467395615874e-17,103.90322875976562
44,2.109719967842102,4.968141555786133,4.746210815341053e-17,106.55851745605469
45,4.249959993362427,4.968142509460449,3.663374483482996e-17,111.45199584960938
46,3.5615841150283813,4.968141555786133,-4.690974341012722e-18,106.89466857910156
47,3.2039279937744136,4.968141555786133,3.1412196996591027e-17,102.82394409179688
48,5.499763906002045,4.968142032623291,2.30249594709402e-17,107.05990600585938
49,6.6772998213768,4.968141555786133,3.13158635424531e-17,104.09768676757812
50,2.5536360979080195,4.968142032623291,4.577407819583173e-18,111.25062561035156
51,1.6525919437408445,4.968141555786133,4.210820810844066e-17,106.27558898925781
