Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_100_134,93.28671264648438,93.28671264648438,14,"tensor(0.4735, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_134\deployed_transmitters_20250903_060742.csv
libya_tile_square_centroid_100_431,93.44988250732422,93.44988250732422,23,"tensor(0.6791, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_431\deployed_transmitters_20250903_060744.csv
libya_tile_square_centroid_100_432,93.33333587646484,93.33333587646484,20,"tensor(0.5277, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_432\deployed_transmitters_20250903_060744.csv
libya_tile_square_centroid_100_433,91.66667175292969,91.66667175292969,20,"tensor(0.5445, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_433\deployed_transmitters_20250903_060744.csv
libya_tile_square_centroid_100_434,93.44988250732422,93.44988250732422,18,"tensor(0.4419, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_434\deployed_transmitters_20250903_060744.csv
libya_tile_square_centroid_100_435,93.61305236816406,93.61305236816406,16,"tensor(0.5099, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_435\deployed_transmitters_20250903_060745.csv
libya_tile_square_centroid_100_436,91.68962097167969,91.68962097167969,15,"tensor(0.4503, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_436\deployed_transmitters_20250903_060745.csv
libya_tile_square_centroid_100_437,93.31002044677734,93.31002044677734,23,"tensor(0.6106, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_437\deployed_transmitters_20250903_060745.csv
libya_tile_square_centroid_100_438,93.40325927734375,93.40325927734375,21,"tensor(0.6651, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_438\deployed_transmitters_20250903_060745.csv
libya_tile_square_centroid_100_439,93.37995147705078,93.37995147705078,18,"tensor(0.6261, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_439\deployed_transmitters_20250903_060745.csv
libya_tile_square_centroid_100_440,91.89623260498047,91.89623260498047,23,"tensor(0.6947, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_440\deployed_transmitters_20250903_060746.csv
libya_tile_square_centroid_100_458,91.8503189086914,91.8503189086914,17,"tensor(0.6723, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_458\deployed_transmitters_20250903_060746.csv
libya_tile_square_centroid_100_459,91.87327575683594,91.87327575683594,13,"tensor(0.4428, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_459\deployed_transmitters_20250903_060746.csv
libya_tile_square_centroid_100_460,93.40325927734375,93.40325927734375,16,"tensor(0.5416, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_460\deployed_transmitters_20250903_060746.csv
libya_tile_square_centroid_100_461,91.94214630126953,91.94214630126953,16,"tensor(0.4284, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_461\deployed_transmitters_20250903_060746.csv
libya_tile_square_centroid_100_462,91.89623260498047,91.89623260498047,12,"tensor(0.4160, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_462\deployed_transmitters_20250903_060746.csv
libya_tile_square_centroid_100_463,93.28671264648438,93.28671264648438,18,"tensor(0.5559, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_463\deployed_transmitters_20250903_060747.csv
libya_tile_square_centroid_100_464,93.49649810791016,93.49649810791016,20,"tensor(0.5795, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_464\deployed_transmitters_20250903_060747.csv
libya_tile_square_centroid_100_465,91.82736206054688,91.82736206054688,16,"tensor(0.4238, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_465\deployed_transmitters_20250903_060747.csv
