Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_100_134,93.28671264648438,93.28671264648438,20,"tensor(0.7459, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_134\deployed_transmitters_20250903_131446.csv
libya_tile_square_centroid_100_431,93.44988250732422,93.44988250732422,12,"tensor(0.5502, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_431\deployed_transmitters_20250903_131447.csv
libya_tile_square_centroid_100_432,93.33333587646484,93.33333587646484,17,"tensor(0.4176, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_432\deployed_transmitters_20250903_131447.csv
libya_tile_square_centroid_100_433,91.66667175292969,91.66667175292969,22,"tensor(0.4783, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_433\deployed_transmitters_20250903_131447.csv
libya_tile_square_centroid_100_434,93.44988250732422,93.44988250732422,17,"tensor(0.5417, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_434\deployed_transmitters_20250903_131448.csv
libya_tile_square_centroid_100_435,93.61305236816406,93.61305236816406,19,"tensor(0.4534, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_435\deployed_transmitters_20250903_131448.csv
libya_tile_square_centroid_100_436,91.68962097167969,91.68962097167969,14,"tensor(0.5381, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_436\deployed_transmitters_20250903_131448.csv
libya_tile_square_centroid_100_437,93.31002044677734,93.31002044677734,18,"tensor(0.6128, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_437\deployed_transmitters_20250903_131448.csv
libya_tile_square_centroid_100_438,93.40325927734375,93.40325927734375,18,"tensor(0.4065, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_438\deployed_transmitters_20250903_131448.csv
libya_tile_square_centroid_100_439,93.37995147705078,93.37995147705078,17,"tensor(0.5582, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_439\deployed_transmitters_20250903_131449.csv
libya_tile_square_centroid_100_440,91.89623260498047,91.89623260498047,19,"tensor(0.5455, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_440\deployed_transmitters_20250903_131449.csv
libya_tile_square_centroid_100_458,91.8503189086914,91.8503189086914,19,"tensor(0.6135, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_458\deployed_transmitters_20250903_131449.csv
libya_tile_square_centroid_100_459,91.87327575683594,91.87327575683594,21,"tensor(0.6112, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_459\deployed_transmitters_20250903_131449.csv
libya_tile_square_centroid_100_460,93.40325927734375,93.40325927734375,16,"tensor(0.4039, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_460\deployed_transmitters_20250903_131449.csv
libya_tile_square_centroid_100_461,91.94214630126953,91.94214630126953,18,"tensor(0.4649, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_461\deployed_transmitters_20250903_131449.csv
libya_tile_square_centroid_100_462,91.89623260498047,91.89623260498047,22,"tensor(0.6204, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_462\deployed_transmitters_20250903_131450.csv
libya_tile_square_centroid_100_463,93.28671264648438,93.28671264648438,14,"tensor(0.4094, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_463\deployed_transmitters_20250903_131450.csv
libya_tile_square_centroid_100_464,93.49649810791016,93.49649810791016,16,"tensor(0.5924, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_464\deployed_transmitters_20250903_131450.csv
libya_tile_square_centroid_100_465,91.82736206054688,91.82736206054688,14,"tensor(0.3901, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_465\deployed_transmitters_20250903_131450.csv
libya_tile_square_centroid_100_466,91.75849914550781,91.75849914550781,19,"tensor(0.5579, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_466\deployed_transmitters_20250903_131450.csv
libya_tile_square_centroid_100_467,95.10059356689453,95.10059356689453,26,"tensor(0.6467, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_467\deployed_transmitters_20250903_131451.csv
libya_tile_square_centroid_100_468,91.78144836425781,91.78144836425781,18,"tensor(0.4646, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_468\deployed_transmitters_20250903_131451.csv
libya_tile_square_centroid_100_469,91.80441284179688,91.80441284179688,25,"tensor(0.4766, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_469\deployed_transmitters_20250903_131451.csv
libya_tile_square_centroid_101_133,93.33333587646484,93.33333587646484,19,"tensor(0.6564, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_133\deployed_transmitters_20250903_131451.csv
libya_tile_square_centroid_101_134,91.68962097167969,91.68962097167969,21,"tensor(0.6240, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_134\deployed_transmitters_20250903_131451.csv
libya_tile_square_centroid_101_431,91.89623260498047,91.89623260498047,21,"tensor(0.5634, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_431\deployed_transmitters_20250903_131452.csv
libya_tile_square_centroid_101_432,91.78144836425781,91.78144836425781,15,"tensor(0.5238, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_432\deployed_transmitters_20250903_131453.csv
libya_tile_square_centroid_101_433,93.47319793701172,93.47319793701172,17,"tensor(0.6211, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_433\deployed_transmitters_20250903_131453.csv
libya_tile_square_centroid_101_434,93.47319793701172,93.47319793701172,19,"tensor(0.4729, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_434\deployed_transmitters_20250903_131453.csv
libya_tile_square_centroid_101_435,91.66667175292969,91.66667175292969,21,"tensor(0.7016, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_435\deployed_transmitters_20250903_131453.csv
libya_tile_square_centroid_101_436,91.919189453125,91.919189453125,19,"tensor(0.4487, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_436\deployed_transmitters_20250903_131453.csv
libya_tile_square_centroid_101_437,93.5897445678711,93.5897445678711,20,"tensor(0.5585, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_437\deployed_transmitters_20250903_131453.csv
libya_tile_square_centroid_101_438,91.73553466796875,91.73553466796875,23,"tensor(0.5487, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_438\deployed_transmitters_20250903_131454.csv
libya_tile_square_centroid_101_458,93.35664367675781,93.35664367675781,18,"tensor(0.4860, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_458\deployed_transmitters_20250903_131454.csv
libya_tile_square_centroid_101_459,93.47319793701172,93.47319793701172,19,"tensor(0.4634, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_459\deployed_transmitters_20250903_131454.csv
libya_tile_square_centroid_101_460,91.80441284179688,91.80441284179688,20,"tensor(0.6219, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_460\deployed_transmitters_20250903_131454.csv
libya_tile_square_centroid_101_461,91.89623260498047,91.89623260498047,17,"tensor(0.5373, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_461\deployed_transmitters_20250903_131454.csv
libya_tile_square_centroid_101_462,93.31002044677734,93.31002044677734,15,"tensor(0.5554, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_462\deployed_transmitters_20250903_131455.csv
libya_tile_square_centroid_101_463,93.44988250732422,93.44988250732422,19,"tensor(0.4997, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_463\deployed_transmitters_20250903_131455.csv
libya_tile_square_centroid_101_464,91.89623260498047,91.89623260498047,14,"tensor(0.4199, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_464\deployed_transmitters_20250903_131455.csv
libya_tile_square_centroid_101_465,91.73553466796875,91.73553466796875,14,"tensor(0.4282, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_465\deployed_transmitters_20250903_131455.csv
libya_tile_square_centroid_101_466,93.5897445678711,93.5897445678711,15,"tensor(0.5148, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_466\deployed_transmitters_20250903_131455.csv
libya_tile_square_centroid_101_467,91.87327575683594,91.87327575683594,14,"tensor(0.5014, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_467\deployed_transmitters_20250903_131455.csv
libya_tile_square_centroid_101_468,91.68962097167969,91.68962097167969,22,"tensor(0.6042, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_468\deployed_transmitters_20250903_131456.csv
libya_tile_square_centroid_101_469,94.95858001708984,94.95858001708984,20,"tensor(0.6009, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_469\deployed_transmitters_20250903_131456.csv
libya_tile_square_centroid_102_133,93.2634048461914,93.2634048461914,17,"tensor(0.5855, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_133\deployed_transmitters_20250903_131456.csv
libya_tile_square_centroid_102_430,91.8503189086914,91.8503189086914,18,"tensor(0.5794, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_430\deployed_transmitters_20250903_131457.csv
libya_tile_square_centroid_102_431,92.01101684570312,92.01101684570312,17,"tensor(0.5125, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_431\deployed_transmitters_20250903_131457.csv
libya_tile_square_centroid_102_432,93.37995147705078,93.37995147705078,25,"tensor(0.7055, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_432\deployed_transmitters_20250903_131457.csv
libya_tile_square_centroid_102_433,91.919189453125,91.919189453125,14,"tensor(0.5184, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_433\deployed_transmitters_20250903_131458.csv
libya_tile_square_centroid_102_434,91.78144836425781,91.78144836425781,19,"tensor(0.5570, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_434\deployed_transmitters_20250903_131458.csv
libya_tile_square_centroid_102_435,93.31002044677734,93.31002044677734,17,"tensor(0.5272, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_435\deployed_transmitters_20250903_131458.csv
libya_tile_square_centroid_102_436,95.00592041015625,95.00592041015625,18,"tensor(0.5514, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_436\deployed_transmitters_20250903_131458.csv
libya_tile_square_centroid_102_437,91.66667175292969,91.66667175292969,19,"tensor(0.6167, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_437\deployed_transmitters_20250903_131458.csv
