Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_101_458,93.35664367675781,93.35664367675781,20,"tensor(0.5592, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_458\deployed_transmitters_20250903_060941.csv
libya_tile_square_centroid_101_459,93.47319793701172,93.47319793701172,14,"tensor(0.4754, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_459\deployed_transmitters_20250903_060941.csv
libya_tile_square_centroid_101_460,91.80441284179688,91.80441284179688,26,"tensor(0.6089, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_460\deployed_transmitters_20250903_060942.csv
libya_tile_square_centroid_101_461,91.89623260498047,91.89623260498047,20,"tensor(0.5849, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_461\deployed_transmitters_20250903_060942.csv
libya_tile_square_centroid_101_462,93.31002044677734,93.31002044677734,12,"tensor(0.3900, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_462\deployed_transmitters_20250903_060942.csv
libya_tile_square_centroid_101_463,93.44988250732422,93.44988250732422,18,"tensor(0.4643, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_463\deployed_transmitters_20250903_060943.csv
libya_tile_square_centroid_101_464,91.89623260498047,91.89623260498047,22,"tensor(0.5194, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_464\deployed_transmitters_20250903_060943.csv
libya_tile_square_centroid_101_465,91.73553466796875,91.73553466796875,16,"tensor(0.5025, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_465\deployed_transmitters_20250903_060943.csv
libya_tile_square_centroid_101_466,93.5897445678711,93.5897445678711,19,"tensor(0.5946, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_466\deployed_transmitters_20250903_060943.csv
libya_tile_square_centroid_101_467,91.87327575683594,91.87327575683594,17,"tensor(0.5398, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_467\deployed_transmitters_20250903_060944.csv
libya_tile_square_centroid_101_468,91.68962097167969,91.68962097167969,19,"tensor(0.4094, device='cuda:0')",polygon_data\libya_tile_square_centroid_101_468\deployed_transmitters_20250903_060944.csv
