Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_100_134,93.28671264648438,93.28671264648438,15,"tensor(0.5425, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_134\deployed_transmitters_20250902_105328.csv
libya_tile_square_centroid_100_135,93.49649810791016,93.49649810791016,17,"tensor(0.6901, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_135\deployed_transmitters_20250902_105328.csv
libya_tile_square_centroid_100_136,91.64370727539062,91.64370727539062,21,"tensor(0.5985, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_136\deployed_transmitters_20250902_105329.csv
libya_tile_square_centroid_100_137,91.8503189086914,91.8503189086914,20,"tensor(0.6457, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_137\deployed_transmitters_20250902_105329.csv
libya_tile_square_centroid_100_138,94.95858001708984,94.95858001708984,17,"tensor(0.5517, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_138\deployed_transmitters_20250902_105329.csv
libya_tile_square_centroid_100_139,91.8503189086914,91.8503189086914,16,"tensor(0.5358, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_139\deployed_transmitters_20250902_105329.csv
libya_tile_square_centroid_100_140,93.37995147705078,93.37995147705078,19,"tensor(0.7417, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_140\deployed_transmitters_20250902_105329.csv
libya_tile_square_centroid_100_141,91.68962097167969,91.68962097167969,23,"tensor(0.6396, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_141\deployed_transmitters_20250902_105330.csv
libya_tile_square_centroid_100_142,91.919189453125,91.919189453125,23,"tensor(0.7884, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_142\deployed_transmitters_20250902_105330.csv
libya_tile_square_centroid_100_143,94.9349136352539,94.9349136352539,15,"tensor(0.4950, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_143\deployed_transmitters_20250902_105330.csv
libya_tile_square_centroid_100_144,91.80441284179688,91.80441284179688,18,"tensor(0.5464, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_144\deployed_transmitters_20250902_105330.csv
libya_tile_square_centroid_100_145,93.35664367675781,93.35664367675781,19,"tensor(0.5692, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_145\deployed_transmitters_20250902_105330.csv
libya_tile_square_centroid_100_146,91.73553466796875,91.73553466796875,13,"tensor(0.4412, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_146\deployed_transmitters_20250902_105331.csv
libya_tile_square_centroid_100_147,93.33333587646484,93.33333587646484,16,"tensor(0.4983, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_147\deployed_transmitters_20250902_105331.csv
libya_tile_square_centroid_100_148,94.98224639892578,94.98224639892578,18,"tensor(0.6449, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_148\deployed_transmitters_20250902_105331.csv
libya_tile_square_centroid_100_149,91.73553466796875,91.73553466796875,11,"tensor(0.4892, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_149\deployed_transmitters_20250902_105331.csv
libya_tile_square_centroid_100_150,93.33333587646484,93.33333587646484,19,"tensor(0.5778, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_150\deployed_transmitters_20250902_105331.csv
libya_tile_square_centroid_100_151,91.80441284179688,91.80441284179688,19,"tensor(0.5823, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_151\deployed_transmitters_20250902_105331.csv
libya_tile_square_centroid_100_152,93.33333587646484,93.33333587646484,21,"tensor(0.6762, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_152\deployed_transmitters_20250902_105332.csv
libya_tile_square_centroid_100_153,93.54312133789062,93.54312133789062,17,"tensor(0.5514, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_153\deployed_transmitters_20250902_105332.csv
libya_tile_square_centroid_100_154,91.66667175292969,91.66667175292969,20,"tensor(0.6184, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_154\deployed_transmitters_20250902_105332.csv
libya_tile_square_centroid_100_155,93.35664367675781,93.35664367675781,18,"tensor(0.5202, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_155\deployed_transmitters_20250902_105332.csv
libya_tile_square_centroid_100_156,91.87327575683594,91.87327575683594,18,"tensor(0.5151, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_156\deployed_transmitters_20250902_105332.csv
libya_tile_square_centroid_100_157,93.35664367675781,93.35664367675781,17,"tensor(0.4862, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_157\deployed_transmitters_20250902_105333.csv
libya_tile_square_centroid_100_158,93.44988250732422,93.44988250732422,17,"tensor(0.5734, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_158\deployed_transmitters_20250902_105333.csv
