episode,reward,entropy,kl_div,variance
0,2.267019963264465,4.967068672180176,-5.079258431969159e-26,103.03666687011719
1,-0.5135319948196417,4.967068672180176,-1.3513067744704985e-25,96.927001953125
2,-0.24433602094650286,4.967068672180176,1.3355470592174128e-25,105.10867309570312
3,0.5284080266952511,4.967068672180176,8.82977533240215e-25,106.14761352539062
4,-0.06588000059127808,4.967069149017334,1.1731381263356444e-24,94.75392150878906
5,-0.6353999733924867,4.967069149017334,6.998489468156871e-25,113.8427734375
6,0.9174160361289978,4.967069149017334,6.080168599780039e-25,120.10443878173828
7,0.7586760520935054,4.967068672180176,8.173887779593587e-25,110.36234283447266
8,-0.4555919885635378,4.967068672180176,7.7176510611351465e-25,102.89604949951172
9,-0.07122802734375,4.967069149017334,1.5145796579549037e-25,107.81456756591797
10,0.49996796846389735,4.967068672180176,8.065430745001211e-25,103.86579132080078
11,1.652152061462402,4.967069149017334,1.4863962462612022e-25,111.58309936523438
12,0.9679240107536313,4.967069625854492,3.401978430983718e-25,102.24694061279297
13,0.5388880848884576,4.967068672180176,6.267518134389372e-25,105.24495697021484
14,-0.03990006446838379,4.967068672180176,4.367060508631723e-25,112.83773803710938
15,0.14349598884582493,4.967068672180176,2.522518822950336e-25,104.70558166503906
16,0.6082479834556578,4.967068672180176,5.791655049647098e-25,108.51482391357422
17,-0.09250807762145996,4.967068672180176,3.3648637579882336e-25,117.07020568847656
18,-0.051531970500946045,4.967068672180176,9.210096514684713e-26,111.54691314697266
19,0.7414919614791868,4.967069149017334,3.5833893220909336e-25,108.87605285644531
20,0.7134159684181212,4.967069149017334,1.7313675093948214e-25,108.74564361572266
21,0.7689599871635435,4.967069149017334,2.099977558501312e-25,111.21511840820312
